#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	502	13.231	645
13.256	503	13.281	647
13.307	502	13.333	640
13.357	503	13.383	623
13.408	503	13.434	598
13.458	502	13.484	564
13.510	501	13.535	524
13.560	501	13.585	482
13.611	501	13.637	437
13.661	500	13.687	393
13.712	499	13.738	352
13.763	499	13.788	315
13.814	499	13.839	285
13.864	498	13.890	263
13.915	498	13.941	252
13.965	498	13.991	251
14.017	497	14.042	258
14.067	498	14.092	277
14.118	498	14.144	303
14.168	498	14.194	337
14.219	499	14.245	375
14.269	500	14.295	419
14.321	499	14.346	462
14.371	501	14.396	506
14.422	500	14.448	546
14.472	501	14.498	581
14.523	502	14.549	611
14.574	502	14.599	630
14.625	503	14.650	639
14.675	502	14.701	642
14.726	502	14.752	634
14.776	502	14.802	616
14.828	501	14.853	590
14.878	501	14.903	557
14.929	501	14.955	519
14.979	501	15.005	476
15.030	500	15.056	433
15.080	499	15.106	390
15.132	499	15.157	349
15.182	499	15.207	315
15.233	498	15.259	286
15.283	498	15.309	267
15.334	498	15.360	257
15.385	498	15.410	257
15.436	498	15.461	265
15.486	496	15.512	283
15.537	498	15.563	310
15.587	499	15.613	344
15.639	499	15.664	382
15.689	499	15.714	424
15.740	500	15.766	467
15.790	501	15.816	509
15.841	501	15.867	547
15.892	502	15.917	582
15.943	503	15.968	610
15.993	502	16.018	628
16.044	502	16.070	636
16.094	503	16.120	636
16.145	502	16.171	628
16.196	503	16.221	609
16.247	501	16.272	583
16.297	500	16.323	550
16.348	501	16.374	513
16.398	501	16.424	471
16.450	500	16.475	429
16.500	499	16.525	387
16.551	499	16.577	349
16.601	498	16.627	314
16.652	499	16.678	289
16.703	499	16.728	270
16.754	498	16.779	262
16.804	498	16.829	262
16.855	498	16.881	271
16.905	498	16.931	291
16.956	498	16.982	317
17.007	498	17.032	351
17.058	499	17.083	388
17.109	500	17.134	429
17.159	500	17.185	470
17.210	501	17.235	513
17.261	501	17.286	549
17.312	501	17.336	581
17.362	502	17.388	607
17.413	504	17.438	624
17.463	502	17.489	632
17.515	503	17.539	631
17.565	502	17.590	624
17.616	501	17.640	602
17.666	501	17.692	577
17.717	502	17.742	544
17.767	502	17.793	506
17.819	500	17.843	466
17.869	500	17.894	425
17.920	499	17.945	385
17.970	499	17.996	348
18.021	499	18.046	315
18.072	499	18.097	290
18.123	498	18.147	274
18.173	498	18.199	267
18.224	498	18.249	268
18.274	498	18.300	278
18.326	498	18.350	296
18.376	499	18.401	325
18.427	499	18.452	357
18.477	499	18.503	396
18.528	500	18.553	435
18.578	500	18.604	476
18.630	501	18.654	514
18.680	502	18.705	550
18.731	502	18.756	582
18.781	502	18.807	605
18.832	502	18.857	621
18.883	502	18.908	627
18.934	503	18.958	626
18.984	501	19.010	616
19.035	502	19.060	596
19.085	501	19.111	570
19.137	501	19.161	538
19.187	500	19.212	500
19.238	500	19.263	461
19.288	500	19.314	421
19.339	499	19.364	382
19.389	499	19.415	347
19.441	498	19.465	316
19.491	498	19.516	292
19.542	498	19.567	276
19.592	497	19.618	272
19.643	498	19.668	273
19.694	499	19.719	284
19.745	498	19.769	304
19.795	499	19.821	331
19.846	500	19.871	364
19.896	500	19.922	400
19.948	501	19.972	440
19.998	501	20.023	480
20.049	500	20.074	518
20.099	502	20.125	552
20.150	500	20.176	581
20.200	502	20.226	603
20.252	499	20.277	617
20.302	502	20.327	623
20.353	501	20.379	621
20.403	501	20.429	609
20.454	501	20.480	590
20.505	501	20.530	563
20.556	500	20.581	531
20.606	500	20.632	495
20.657	500	20.683	456
20.707	499	20.733	417
20.759	498	20.784	380
20.809	500	20.834	346
20.860	499	20.886	317
20.910	499	20.936	295
20.961	497	20.987	281
21.012	499	21.037	277
21.063	499	21.088	278
21.113	499	21.138	292
21.164	499	21.190	312
