#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	406	0.050	546
0.076	445	0.101	602
0.127	487	0.151	654
0.177	525	0.202	700
0.228	556	0.253	738
0.278	582	0.304	764
0.329	599	0.354	778
0.380	606	0.405	778
0.431	606	0.455	767
0.481	598	0.507	746
0.532	580	0.557	711
0.582	554	0.608	669
0.634	521	0.658	618
0.684	486	0.709	565
0.735	444	0.760	508
0.785	405	0.811	452
0.836	366	0.861	401
0.887	330	0.912	357
0.938	298	0.962	320
0.988	273	1.014	295
1.039	256	1.064	284
1.089	249	1.115	283
1.140	248	1.165	297
1.191	256	1.216	322
1.242	272	1.266	357
1.292	297	1.318	402
1.343	328	1.368	451
1.393	365	1.419	506
1.445	404	1.469	560
1.495	444	1.520	612
1.546	484	1.571	660
1.596	520	1.622	704
1.647	552	1.672	737
1.698	579	1.723	760
1.749	596	1.773	769
1.799	606	1.825	766
1.850	606	1.875	753
1.900	599	1.926	729
1.951	581	1.976	696
2.002	556	2.027	653
2.053	525	2.077	604
2.103	489	2.129	550
2.154	450	2.179	496
2.204	409	2.230	444
2.256	370	2.280	397
2.306	333	2.331	355
2.357	300	2.382	324
2.407	273	2.433	302
2.458	256	2.483	293
2.509	247	2.534	296
2.560	248	2.584	312
2.610	254	2.636	337
2.661	270	2.686	374
2.711	294	2.737	416
2.762	325	2.787	466
2.813	361	2.838	517
2.864	400	2.889	570
2.914	440	2.940	621
2.965	481	2.991	667
3.015	518	3.041	705
3.067	552	3.092	734
3.117	579	3.142	753
3.168	598	3.194	758
3.218	608	3.244	753
3.269	609	3.295	740
3.320	603	3.345	714
3.371	584	3.396	680
3.421	561	3.447	637
3.472	530	3.498	589
3.522	492	3.548	538
3.574	452	3.599	486
3.624	410	3.649	438
3.675	370	3.700	393
3.725	332	3.751	356
3.776	299	3.802	327
3.826	272	3.852	309
3.878	253	3.903	304
3.928	245	3.953	310
3.979	243	4.005	326
4.029	248	4.055	354
4.080	269	4.106	390
4.131	291	4.156	433
4.182	323	4.207	480
4.232	360	4.258	531
4.283	399	4.309	580
4.333	441	4.359	626
4.385	482	4.410	669
4.435	522	4.460	703
4.486	554	4.511	729
4.536	582	4.562	744
4.587	602	4.613	747
4.637	612	4.663	741
4.689	613	4.714	725
4.739	606	4.764	699
4.790	588	4.816	663
4.840	562	4.866	622
4.891	529	4.917	576
