#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	497	13.230	558
13.255	537	13.281	550
13.305	570	13.331	540
13.357	597	13.382	528
13.407	616	13.432	514
13.458	626	13.484	498
13.508	626	13.534	482
13.559	618	13.585	468
13.609	601	13.635	455
13.661	574	13.686	443
13.711	542	13.736	435
13.762	504	13.788	430
13.812	463	13.838	427
13.863	421	13.889	428
13.914	381	13.939	432
13.965	344	13.990	437
14.015	312	14.041	448
14.066	288	14.092	458
14.116	271	14.142	471
14.168	265	14.193	483
14.218	269	14.243	495
14.269	278	14.295	508
14.319	299	14.345	518
14.370	327	14.396	527
14.420	361	14.446	533
14.472	400	14.497	537
14.522	441	14.547	537
14.573	484	14.599	536
14.623	524	14.649	532
14.674	560	14.700	526
14.725	591	14.750	519
14.776	613	14.801	509
14.826	627	14.852	500
14.877	631	14.903	492
14.927	625	14.953	481
14.979	612	15.004	473
15.029	588	15.054	465
15.080	557	15.106	457
15.130	520	15.156	455
15.181	479	15.207	452
15.232	437	15.257	452
15.283	395	15.308	454
15.333	357	15.358	457
15.384	321	15.410	462
15.434	293	15.460	467
15.485	274	15.511	474
15.536	264	15.561	481
15.587	264	15.612	487
15.637	271	15.663	494
15.688	289	15.714	499
15.738	314	15.764	504
15.790	347	15.815	508
15.840	384	15.865	511
15.891	425	15.917	512
15.941	467	15.967	512
15.992	509	16.018	511
16.043	548	16.068	509
16.094	580	16.119	506
16.144	606	16.169	502
16.195	624	16.221	498
16.245	632	16.271	494
16.296	630	16.322	490
16.347	619	16.372	487
16.398	598	16.423	484
16.449	570	16.474	481
16.499	535	16.525	479
16.550	495	16.575	479
16.601	453	16.626	477
16.652	410	16.676	478
16.702	371	16.728	478
16.753	334	16.778	479
16.803	304	16.829	480
16.855	281	16.879	481
16.905	267	16.930	483
16.956	264	16.980	484
17.006	268	17.032	484
17.057	281	17.082	486
17.107	304	17.133	486
17.159	334	17.183	486
17.209	370	17.234	487
17.260	410	17.285	487
17.310	452	17.336	487
17.361	494	17.386	488
17.412	533	17.437	488
17.463	568	17.487	488
17.513	596	17.539	489
17.564	617	17.589	491
17.614	628	17.640	491
17.666	629	17.690	493
17.716	621	17.741	495
17.767	604	17.792	496
17.817	579	17.843	497
17.868	546	17.893	500
17.918	509	17.944	500
17.970	469	17.994	500
18.020	425	18.045	499
18.071	386	18.096	498
18.121	349	18.147	496
18.172	317	18.197	494
18.223	291	18.248	491
18.274	274	18.298	488
18.324	267	18.350	484
18.375	269	18.400	481
18.425	279	18.451	476
18.477	298	18.501	473
18.527	324	18.552	473
18.578	358	18.603	469
18.628	396	18.654	469
18.679	436	18.704	469
18.729	478	18.755	470
18.781	517	18.805	473
18.831	553	18.856	476
18.882	583	18.907	479
18.932	606	18.958	484
18.983	620	19.008	490
19.034	623	19.059	495
19.085	621	19.109	500
19.135	608	19.161	507
19.186	586	19.211	510
19.236	557	19.262	515
19.288	522	19.312	516
19.338	483	19.363	516
19.389	443	19.414	517
19.439	404	19.465	514
19.490	365	19.516	511
19.540	330	19.566	506
19.592	304	19.617	500
19.642	284	19.667	494
19.693	272	19.719	487
19.743	273	19.769	479
19.794	279	19.820	472
19.845	294	19.870	466
19.896	318	19.921	460
19.946	348	19.972	455
19.997	383	20.023	452
20.047	424	20.073	451
20.099	461	20.124	453
20.149	501	20.174	456
20.200	537	20.226	461
20.250	569	20.276	467
20.301	593	20.327	476
20.352	610	20.377	484
20.403	618	20.428	494
20.453	617	20.478	502
20.504	608	20.530	513
20.554	589	20.580	520
20.605	564	20.631	526
20.656	532	20.681	531
20.707	495	20.732	534
20.757	457	20.783	535
20.808	418	20.834	532
20.858	381	20.884	527
20.910	348	20.935	520
20.960	317	20.985	512
21.011	297	21.037	502
21.061	284	21.087	492
21.112	279	21.138	479
21.163	283	21.188	468
21.214	295	21.239	457
21.264	314	21.289	450
21.315	341	21.341	442
21.365	374	21.391	437
21.416	409	21.442	436
21.467	447	21.492	436
21.518	484	21.543	441
21.568	520	21.594	445
21.619	554	21.645	454
21.669	578	21.695	465
21.721	597	21.746	477
21.771	607	21.796	489
21.822	609	21.848	503
21.872	604	21.898	515
21.923	589	21.949	527
21.974	568	21.999	537
22.025	540	22.050	544
22.075	507	22.100	549
22.126	470	22.152	550
22.176	434	22.202	548
22.227	398	22.253	544
22.278	364	22.303	535
22.329	335	22.354	525
22.379	312	22.405	512
22.430	297	22.456	499
22.480	289	22.506	485
22.532	289	22.557	469
22.582	298	22.607	454
22.633	314	22.659	443
22.683	336	22.709	432
22.734	366	22.760	424
22.785	399	22.810	421
22.836	433	22.861	420
22.886	469	22.912	423
22.937	504	22.963	430
22.987	535	23.013	440
23.038	561	23.064	452
23.089	583	23.114	467
23.140	593	23.165	483
23.191	600	23.216	498
23.241	597	23.267	516
23.292	587	23.317	529
23.343	568	23.368	544
23.394	544	23.418	554
23.444	515	23.470	561
23.495	481	23.520	565
23.545	447	23.571	563
23.597	413	23.621	559
23.647	381	23.672	551
23.698	353	23.723	539
23.748	329	23.774	525
23.799	311	23.824	508
23.849	302	23.875	490
23.901	299	23.925	471
23.951	304	23.976	455
24.002	317	24.027	439
24.052	336	24.078	425
24.103	361	24.128	414
24.154	390	24.179	408
24.205	422	24.229	406
24.255	455	24.281	409
24.306	488	24.331	415
24.356	518	24.382	424
