#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	327	0.050	356
0.076	361	0.101	412
0.126	396	0.152	472
0.177	432	0.202	531
0.228	468	0.253	588
0.279	501	0.303	638
0.329	529	0.354	679
0.380	550	0.405	714
0.430	564	0.456	732
0.481	570	0.506	736
0.532	568	0.557	729
0.583	558	0.608	709
0.633	540	0.659	676
0.684	516	0.710	634
0.734	486	0.760	584
0.786	452	0.811	527
0.836	416	0.861	469
0.887	381	0.913	409
0.937	345	0.963	355
0.988	313	1.014	305
1.039	286	1.064	264
1.090	264	1.115	234
1.140	251	1.166	216
1.191	244	1.217	213
1.241	245	1.267	224
1.292	253	1.318	247
1.343	268	1.368	282
1.394	292	1.419	325
1.444	321	1.470	377
1.495	354	1.521	432
1.545	389	1.571	491
1.597	423	1.622	548
1.647	461	1.672	600
1.698	491	1.724	648
1.748	521	1.774	686
1.799	543	1.825	712
1.850	558	1.875	728
1.901	566	1.926	727
1.951	566	1.977	716
2.002	558	2.028	694
2.052	543	2.078	659
2.103	521	2.129	615
2.154	492	2.179	564
2.205	460	2.230	509
2.255	424	2.281	452
2.306	387	2.332	395
2.356	353	2.382	343
2.408	321	2.433	299
2.458	291	2.483	262
2.509	269	2.535	235
2.559	253	2.585	222
2.610	245	2.636	223
2.661	245	2.686	237
2.712	251	2.737	262
2.762	266	2.788	298
2.813	288	2.839	343
2.863	314	2.889	394
2.914	346	2.940	451
2.965	381	2.990	505
3.016	417	3.041	560
3.066	454	3.092	609
3.117	487	3.143	652
3.167	517	3.193	687
3.219	541	3.244	711
3.269	558	3.294	721
3.320	567	3.346	716
3.370	570	3.396	702
3.421	563	3.447	677
3.472	549	3.497	642
3.523	527	3.548	597
3.573	498	3.599	547
3.624	467	3.650	493
3.674	429	3.700	437
3.726	394	3.751	383
3.776	358	3.801	335
3.827	324	3.852	293
3.877	294	3.903	261
3.928	269	3.954	239
3.978	251	4.004	229
4.030	242	4.055	236
4.080	241	4.105	251
4.131	247	4.157	279
4.181	260	4.207	317
4.232	281	4.258	363
4.283	307	4.308	413
4.334	341	4.359	467
4.384	377	4.410	518
4.435	413	4.461	571
4.485	450	4.511	617
4.537	485	4.562	656
4.587	516	4.612	686
4.638	542	4.663	704
4.688	560	4.714	708
4.739	571	4.765	703
4.789	572	4.815	688
4.841	568	4.866	660
4.891	553	4.916	624
4.942	533	4.968	579
4.992	505	5.018	530
5.043	472	5.069	478
5.094	436	5.119	426
5.145	398	5.170	375
5.195	361	5.221	331
