#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	500	13.230	362
13.255	500	13.281	318
13.306	499	13.331	280
13.357	499	13.382	249
13.407	498	13.433	229
13.458	498	13.484	222
13.508	498	13.534	224
13.560	498	13.585	237
13.610	497	13.635	261
13.661	498	13.687	295
13.711	498	13.737	335
13.762	499	13.788	381
13.812	499	13.838	429
13.864	500	13.889	479
13.914	501	13.939	525
13.965	501	13.991	568
14.015	503	14.041	605
14.066	502	14.092	633
14.117	503	14.142	652
14.168	501	14.193	658
14.218	503	14.244	655
14.269	504	14.295	643
14.319	503	14.345	618
14.371	503	14.396	586
14.421	504	14.446	546
14.472	502	14.498	502
14.522	502	14.548	456
14.573	502	14.599	405
14.623	501	14.649	359
14.675	500	14.700	317
14.725	498	14.750	281
14.776	498	14.802	252
14.826	498	14.852	233
14.877	498	14.903	227
14.928	497	14.953	231
14.979	498	15.004	244
15.030	500	15.055	270
15.080	498	15.106	304
15.131	499	15.156	342
15.182	499	15.207	387
15.233	500	15.257	435
15.283	500	15.309	482
15.334	501	15.359	528
15.384	500	15.410	570
15.436	504	15.460	604
15.486	503	15.511	632
15.537	504	15.561	647
15.587	503	15.613	654
15.638	503	15.663	649
15.688	504	15.714	636
15.740	503	15.764	610
15.790	503	15.815	579
15.841	502	15.866	540
15.891	502	15.917	496
15.942	501	15.967	449
15.993	500	16.018	402
16.044	499	16.068	357
16.094	500	16.120	316
16.145	498	16.170	282
16.195	499	16.221	254
16.247	499	16.271	237
16.297	497	16.322	232
16.348	498	16.372	238
16.398	499	16.424	251
16.449	499	16.474	278
16.499	499	16.525	310
16.551	500	16.575	350
16.601	498	16.626	394
16.652	500	16.677	440
16.702	500	16.728	486
16.753	501	16.778	531
16.804	502	16.829	571
16.855	502	16.879	604
16.905	503	16.931	628
16.956	503	16.981	643
17.006	503	17.032	648
17.058	503	17.082	642
17.108	502	17.133	628
17.159	501	17.183	604
17.209	502	17.235	572
17.260	502	17.285	533
17.310	502	17.336	490
17.362	502	17.386	444
17.412	501	17.437	399
17.463	500	17.488	356
17.513	499	17.539	316
17.564	500	17.589	282
17.615	499	17.640	257
17.666	498	17.690	241
17.716	498	17.742	239
17.767	499	17.792	245
17.817	499	17.843	259
17.869	499	17.893	286
17.919	499	17.944	318
17.970	499	17.994	357
18.020	500	18.046	401
18.071	501	18.097	445
18.121	500	18.147	490
18.173	501	18.198	533
18.223	502	18.248	571
18.274	502	18.300	601
18.324	503	18.350	625
